name,rating,number_of_reviews,information
L&T Construction,4.0,7.1k,Engineering & Construction | Chennai +424 other locations
Zydus Lifesciences,3.9,7.1k,Pharma | Ahmedabad +173 other locations
Hindustan Unilever,4.2,7k,FMCG | Mumbai +525 other locations
Equitas Small Finance Bank,4.2,7k,Banking | Chennai +445 other locations
Ekart Logistics,3.9,7k,Logistics | Bangalore / Bengaluru +728 other locations
KPMG India,3.4,6.9k,Management Consulting | Bangalore / Bengaluru +109 other locations
ITC,3.9,6.9k,FMCG | Bangalore / Bengaluru +371 other locations
Ujjivan Small Finance Bank,4.0,6.8k,Banking | Bangalore / Bengaluru +525 other locations
Axis Max Life Insurance,4.0,6.8k,Insurance | New Delhi +493 other locations
Megha Engineering & Infrastructures,3.9,6.6k,Engineering & Construction | Hyderabad / Secunderabad +398 other locations
Tata Projects,4.2,6.5k,Engineering & Construction | Mumbai +282 other locations
FIS,3.8,6.4k,FinTech | Pune +61 other locations
Coforge,3.2,6.3k,IT Services & Consulting | Noida +105 other locations
L&T Technology Services,3.1,6.3k,IT Services & Consulting | Bangalore / Bengaluru +94 other locations
Bajaj Life Insurance,3.9,6.3k,Insurance | Pune +601 other locations
IIFL Finance,4.0,6.2k,NBFC | Mumbai +798 other locations
Oracle,3.5,6.2k,Software Product | Bangalore / Bengaluru +56 other locations
Cholamandalam Investment & Finance,3.8,6.1k,Financial Services | Chennai +823 other locations
Indian Army,4.7,6.1k,Defence & Aerospace | New Delhi +362 other locations
Omega Healthcare,3.8,6.1k,BPO | Chennai +68 other locations
Muthoot Finance,3.7,6.1k,NBFC | Bangalore / Bengaluru +771 other locations
JLL,4.1,6.1k,Real Estate | Gurgaon / Gurugram +85 other locations
HCL Group,3.5,6k,IT Services & Consulting | Chennai +98 other locations
eClerx,3.1,6k,IT Services & Consulting | Pune +32 other locations
Virtusa Consulting Services,3.7,5.9k,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations
Piramal Finance,4.2,5.9k,NBFC | Mumbai +415 other locations
DMart,3.9,5.8k,Retail | Mumbai +245 other locations
Udaan,4.0,5.8k,Internet | Bangalore / Bengaluru +369 other locations
HSBC Group,3.9,5.8k,Financial Services | Bangalore / Bengaluru +63 other locations
Indiamart Intermesh,3.5,5.7k,Internet | Noida +170 other locations
Aurobindo Pharma,4.0,5.7k,Pharma | Hyderabad / Secunderabad +116 other locations
SMFG India Credit,3.9,5.6k,NBFC | Mumbai +586 other locations
Siemens,3.9,5.6k,Industrial Automation | Bangalore / Bengaluru +153 other locations
BigBasket,3.9,5.6k,Internet | Bangalore / Bengaluru +140 other locations
Shapoorji Pallonji Group,4.1,5.6k,Engineering & Construction | Mumbai +188 other locations
CGI Group,4.0,5.6k,IT Services & Consulting | Bangalore / Bengaluru +44 other locations
Access Healthcare,3.7,5.6k,BPO | Chennai +62 other locations
Manappuram Finance,3.9,5.5k,NBFC | Bangalore / Bengaluru +636 other locations
ICICI Lombard General Insurance Company,3.5,5.5k,Insurance | Mumbai +310 other locations
Firstsource Solutions,3.5,5.5k,BPO | Bangalore / Bengaluru +72 other locations
GlobalLogic,3.5,5.5k,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations
Standard Chartered,3.6,5.5k,Banking | Chennai +68 other locations
Apollo Hospitals,4.1,5.4k,Healthcare | Chennai +227 other locations
Mahindra Finance,3.9,5.4k,NBFC | Mumbai +721 other locations
UST,3.7,5.4k,IT Services & Consulting | Bangalore / Bengaluru +49 other locations
Bosch Global Software Technologies,3.7,5.4k,IT Services & Consulting | Bangalore / Bengaluru +47 other locations
Ashok Leyland,4.0,5.4k,Automobile | Chennai +248 other locations
Citicorp,3.7,5.3k,Financial Services | Pune +67 other locations
PolicyBazaar,3.6,5.3k,Internet | Gurgaon / Gurugram +142 other locations
Swiggy,3.7,5.3k,Internet | Bangalore / Bengaluru +228 other locations
Cyient,3.6,5.2k,IT Services & Consulting | Hyderabad / Secunderabad +48 other locations
Hero MotoCorp,4.1,5.2k,Automobile | Gurgaon / Gurugram +363 other locations
SBI Cards & Payment Services,3.6,5.1k,Financial Services | Gurgaon / Gurugram +431 other locations
JustDial,3.5,5k,Internet | Noida +227 other locations
Kalpataru Projects International,4.1,5k,Engineering & Construction | Mumbai +315 other locations
IQVIA,3.7,5k,Clinical Research | Bangalore / Bengaluru +62 other locations
BNY,3.7,5k,Financial Services | Pune +25 other locations
CBRE,4.1,4.9k,Real Estate | Hyderabad / Secunderabad +91 other locations
SBI Life Insurance Company,3.7,4.9k,Insurance | Mumbai +646 other locations
NTT Data,3.8,4.9k,IT Services & Consulting | Bangalore / Bengaluru +77 other locations
TVS Motor,3.9,4.9k,Automobile | Hosur +345 other locations
Nagarjuna Construction Company,4.1,4.9k,Engineering & Construction | Hyderabad / Secunderabad +292 other locations
vivo,4.1,4.8k,Consumer Electronics & Appliances | Noida +413 other locations
Persistent Systems,3.6,4.8k,IT Services & Consulting | Pune +42 other locations
State Bank of India,3.8,4.8k,Banking | Mumbai +615 other locations
Atos,3.8,4.8k,IT Services & Consulting | Pune +49 other locations
Schneider Electric,4.1,4.8k,Industrial Automation | Bangalore / Bengaluru +118 other locations
Eviden,3.6,4.8k,IT Services & Consulting | Pune +39 other locations
Ecom Express,4.0,4.8k,Logistics | Gurgaon / Gurugram +772 other locations
Amdocs,3.6,4.7k,Software Product | Pune +23 other locations
KEC International,4.0,4.7k,Engineering & Construction | Mumbai +309 other locations
Nagarro,3.9,4.7k,IT Services & Consulting | Gurgaon / Gurugram +49 other locations
JBM Group,3.9,4.6k,Auto Components | Gurgaon / Gurugram +114 other locations
Varun Beverages,4.0,4.6k,Beverage | New Delhi +374 other locations
Home Credit Finance,4.0,4.6k,NBFC | Gurgaon / Gurugram +135 other locations
Bosch,4.2,4.5k,Auto Components | Bangalore / Bengaluru +126 other locations
Hewlett Packard Enterprise,4.1,4.5k,IT Services & Consulting | Bangalore / Bengaluru +104 other locations
OPPO,3.9,4.5k,Consumer Electronics & Appliances | Greater Noida +408 other locations
EY Global Delivery Services ( EY GDS),3.5,4.5k,IT Services & Consulting | Bangalore / Bengaluru +56 other locations
ITC Infotech,3.6,4.5k,IT Services & Consulting | Bangalore / Bengaluru +67 other locations
Mahindra Logistics,3.7,4.4k,Logistics | Mumbai +232 other locations
Aditya Birla Fashion and Retail,4.1,4.4k,Fashion & Textile | Bangalore / Bengaluru +289 other locations
L&T Finance,3.9,4.4k,NBFC | Mumbai +623 other locations
Dell,3.8,4.4k,Consumer Electronics & Appliances | Bangalore / Bengaluru +116 other locations
Randstad,3.7,4.4k,Recruitment | Hyderabad / Secunderabad +346 other locations
CARS24,3.4,4.4k,Internet | Gurgaon / Gurugram +173 other locations
Utkarsh Small Finance Bank,3.6,4.4k,Banking | Varanasi +399 other locations
